Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Australia,AUS,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.364415,1.347277,1.32667,1.31089,1.299225,1.308996,1.311426,1.306627,1.298972,1.29695,1.31208,1.327545,1.33649,1.351978,1.36477,1.388356,1.402633,1.42652,1.479073,1.442566,1.503623,1.511052,1.540115,1.447123,1.452489,1.474079,1.450156,1.477553,1.470403,1.459253,1.431163,1.396607,1.360655,1.369197
Austria,AUT,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.920645,0.922961,0.933791,0.937319,0.940894,0.938286,0.934143,0.931676,0.92277,0.923906,0.907505,0.922895,0.899797,0.888119,0.878053,0.881939,0.86003,0.867981,0.854424,0.843756,0.842336,0.831374,0.813648,0.797081,0.798797,0.798599,0.776931,0.775009,0.765403,0.738332,0.728799,0.721,0.701066,0.737191
Azerbaijan,AZE,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.78E-06,1.38E-05,0.000157332,0.00130194,0.018943226,0.119796383,0.14872282,0.159714343,0.156414992,0.157567176,0.173325525,0.173771876,0.178324146,0.187045259,0.198999354,0.221358424,0.239004127,0.281634874,0.353063381,0.284772317,0.319464642,0.383509785,0.368202768,0.357812484,0.352385194,0.373831914,0.426016726,0.498603374,0.527234912,0.489932567,0.474218667,0.457138151,0.585754827,0.513354006
Burundi,BDI,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.22013277,71.7101704,73.89971533,77.77791911,81.20722839,92.34755377,103.7944172,135.0919238,148.8874058,168.7640603,186.774394,207.7160092,206.6398636,226.8458905,249.946142,288.0095592,287.3441265,302.9105555,369.1502963,405.2594128,434.6733931,461.5091248,523.1272323,531.3069159,534.9652527,553.8459543,564.3957462,626.1676025,605.9476929,582.1962891,595.6138306,609.5991821,673.3433278,723.894519
Belgium,BEL,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.913792,0.909327,0.919512,0.934089,0.933713,0.925701,0.927935,0.927651,0.935605,0.931348,0.9,0.892366,0.8733,0.876064,0.888301,0.891788,0.874274,0.878774,0.86694,0.850135,0.836717,0.831911,0.822137,0.806166,0.800214,0.799784,0.781011,0.775634,0.766407,0.735832,0.716165,0.720567,0.708688,0.734306
Benin,BEN,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.7487773,114.7587634,115.5961035,115.6051337,151.1109324,170.3560199,178.8487116,182.2649405,189.6687005,202.9999432,207.120598,206.5505865,210.6188295,212.8647351,208.8860495,211.2318367,209.2041856,204.4804972,213.5231131,217.6038044,216.8848722,220.4335785,233.1861389,229.8616012,222.6922744,217.4563027,210.7117777,212.2662354,215.7384033,210.4048767,212.435318,211.1066742,205.2132739,204.7914967
Burkina Faso,BFA,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.6035977,151.0438262,148.0137676,142.5018885,159.9474894,167.268153,164.8337086,164.5610803,175.6536393,203.324021,197.1904761,200.487915,203.4551209,202.4783185,197.3548183,198.51047,191.29545,190.8914576,204.437811,208.0722231,213.3438208,223.1158142,237.5922422,228.405865,227.3231965,220.2303563,209.0264836,201.5952759,208.2841949,200.7630615,199.5170898,199.7247467,197.4120155,194.3624788
Bangladesh,BGD,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.55557571,13.47004788,13.50999325,13.21770129,13.45466022,14.11993637,14.45324078,14.74817292,15.27500718,15.63136186,15.81195013,15.96805212,16.33580961,16.95120031,17.26039017,17.50320877,17.97729563,18.63576222,19.72075154,20.92566764,22.15153146,23.40955544,23.73549952,24.85747308,25.65040461,27.04661205,28.18957073,29.35134506,29.397892,29.59568214,28.70980072,28.29668808,27.74716522,28.63067779
Bulgaria,BGR,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000689988,0.002179371,0.003400322,0.005018625,0.008486217,0.019612493,0.038199558,0.398257201,0.518748851,0.525165805,0.535964224,0.555795515,0.558288938,0.559796818,0.580230189,0.596499735,0.618229536,0.656282692,0.677679479,0.693218846,0.677054363,0.701073911,0.692816327,0.680006208,0.661229595,0.6785188,0.666664351,0.676279332,0.680100517,0.675805828,0.675201085,0.693254013,0.727682462,0.768050864
Bahrain,BHR,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.130577156,0.123927998,0.116886382,0.110725073,0.11635806,0.115211516,0.113362755,0.112479327,0.103379353,0.104644735,0.116982616,0.110558097,0.112583397,0.119901247,0.129594777,0.142913587,0.150897207,0.159310216,0.174062293,0.150516385,0.166564576,0.178678498,0.175286384,0.18021832,0.183168478,0.185784212,0.188678215,0.185696244,0.190370858,0.181090996,0.171287224,0.185745358,0.1869934,0.173018959
